HUD frame time nsec:,30540000

Range Index,Elapsed Time, First Event,Last Event
0,34528,7,7
1,106336,14,14
2,1562848,78,78
3,704,109,109
4,5504,192,192
5,3584,223,223
6,5536,254,254
7,3264,285,285
8,736,316,316
9,768,347,347
10,4224,378,378
11,3680,409,409
12,5024,440,440
13,2848,471,471
14,928,502,502
15,800,533,533
16,5024,564,564
17,5696,595,595
18,4608,626,626
19,4000,657,657
20,704,688,688
21,736,719,719
22,5152,750,750
23,4192,781,781
24,5056,812,812
25,2560,843,843
26,704,874,874
27,704,905,905
28,5536,936,936
29,4224,967,967
30,5312,998,998
31,2112,1029,1029
32,800,1060,1060
33,704,1091,1091
34,5152,1122,1122
35,5280,1153,1153
36,5056,1184,1184
37,4352,1215,1215
38,1056,1246,1246
39,704,1277,1277
40,4768,1308,1308
41,4736,1339,1339
42,4832,1370,1370
43,2656,1401,1401
44,1728,1432,1432
45,736,1463,1463
46,7424,1494,1494
47,3488,1525,1525
48,6080,1556,1556
49,2944,1587,1587
50,736,1618,1618
51,736,1649,1649
52,5216,1680,1680
53,4416,1711,1711
54,4256,1742,1742
55,3648,1773,1773
56,736,1804,1804
57,736,1835,1835
58,6624,1866,1866
59,3104,1897,1897
60,3936,1928,1928
61,3904,1959,1959
62,1792,1990,1990
63,736,2021,2021
64,5184,2052,2052
65,3328,2083,2083
66,4256,2114,2114
67,3168,2145,2145
68,736,2176,2176
69,704,2207,2207
70,6624,2238,2238
71,4768,2269,2269
72,4192,2300,2300
73,3360,2331,2331
74,1952,2362,2362
75,736,2393,2393
76,4800,2424,2424
77,3904,2455,2455
78,6528,2486,2486
79,3392,2517,2517
80,704,2548,2548
81,704,2579,2579
82,4320,2610,2610
83,4192,2641,2641
84,4960,2672,2672
85,3840,2703,2703
86,736,2734,2734
87,800,2765,2765
88,5056,2796,2796
89,3584,2827,2827
90,7456,2858,2858
91,4352,2889,2889
92,832,2920,2920
93,704,2951,2951
94,5120,2982,2982
95,3264,3013,3013
96,5408,3044,3044
97,3168,3075,3075
98,896,3106,3106
99,736,3137,3137
100,6400,3168,3168
101,4256,3199,3199
102,4544,3230,3230
103,3136,3261,3261
104,1824,3292,3292
105,736,3323,3323
106,5056,3354,3354
107,4192,3385,3385
108,4768,3416,3416
109,2848,3447,3447
110,864,3478,3478
111,704,3509,3509
112,6080,3540,3540
113,3712,3571,3571
114,5920,3602,3602
115,2080,3633,3633
116,736,3664,3664
117,704,3695,3695
118,6784,3726,3726
119,3712,3757,3757
120,4384,3788,3788
121,2112,3819,3819
122,1440,3850,3850
123,704,3881,3881
124,704,3912,3912
125,16800,3926,3926
126,31008,3930,3930
127,28928,3957,3957
128,1161152,4071,4071
129,16128,4082,4082
130,254656,4175,4175
131,1472,4206,4206
132,704,4289,4289
133,736,4320,4320
134,704,4351,4351
135,736,4382,4382
136,736,4413,4413
137,704,4444,4444
138,736,4475,4475
139,736,4506,4506
140,736,4537,4537
141,704,4568,4568
142,736,4599,4599
143,736,4630,4630
144,832,4661,4661
145,704,4692,4692
146,736,4723,4723
147,704,4754,4754
148,704,4785,4785
149,768,4816,4816
150,704,4847,4847
151,736,4878,4878
152,1248,4909,4909
153,1632,4940,4940
154,1920,4971,4971
155,1760,5002,5002
156,3200,5033,5033
157,1632,5064,5064
158,1472,5095,5095
159,1760,5126,5126
160,1824,5157,5157
161,1728,5188,5188
162,2560,5219,5219
163,1888,5250,5250
164,1792,5281,5281
165,1920,5312,5312
166,1536,5343,5343
167,2112,5374,5374
168,2400,5405,5405
169,1760,5436,5436
170,1824,5467,5467
171,1888,5498,5498
172,1632,5529,5529
173,1888,5560,5560
174,3136,5591,5591
175,1536,5622,5622
176,1824,5653,5653
177,1856,5684,5684
178,1344,5715,5715
179,2464,5746,5746
180,2752,5777,5777
181,1728,5808,5808
182,1856,5839,5839
183,1760,5870,5870
184,1952,5901,5901
185,1216,5932,5932
186,3456,5963,5963
187,1920,5994,5994
188,1632,6025,6025
189,2240,6056,6056
190,1472,6087,6087
191,2208,6118,6118
192,2688,6149,6149
193,1856,6180,6180
194,1600,6211,6211
195,1824,6242,6242
196,2176,6273,6273
197,1856,6304,6304
198,2592,6335,6335
199,2048,6366,6366
200,1824,6397,6397
201,1824,6428,6428
202,2016,6459,6459
203,1888,6490,6490
204,2720,6521,6521
205,1600,6552,6552
206,1728,6583,6583
207,1664,6614,6614
208,2080,6645,6645
209,1696,6676,6676
210,2720,6707,6707
211,1952,6738,6738
212,1472,6769,6769
213,2016,6800,6800
214,1664,6831,6831
215,1952,6862,6862
216,2784,6893,6893
217,1632,6924,6924
218,1952,6955,6955
219,1632,6986,6986
220,28416,7017,7017
221,2144,7048,7048
222,2880,7079,7079
223,1792,7110,7110
224,1760,7141,7141
225,1600,7172,7172
226,1792,7203,7203
227,2016,7234,7234
228,2848,7265,7265
229,1600,7296,7296
230,1664,7327,7327
231,1760,7358,7358
232,736,7389,7389
233,704,7420,7420
234,736,7451,7451
235,704,7482,7482
236,736,7513,7513
237,736,7544,7544
238,736,7575,7575
239,736,7606,7606
240,736,7637,7637
241,11904,7668,7668
242,704,7699,7699
243,704,7730,7730
244,704,7761,7761
245,832,7792,7792
246,736,7823,7823
247,672,7854,7854
248,736,7885,7885
249,704,7916,7916
250,736,7947,7947
251,736,7978,7978
252,726912,8015,8015
253,73088,8122,8122
254,615552,8131,8131
